Number,ProblemType,Problem,Solution
7_6,Series of Functions,"Suppose that a power series 
\[
f(x) = \sum_{n=0}^\infty a_n x^n
\]
has the radius of convergence $1$, all $a_n$ are non-negative, and that $(1 - x)f(x)$ converges to $1$ as $x \to 1^-$. Show then that
\[
\lim_{n \to \infty} \frac{a_0 + a_1 + a_2 + \cdots + a_n}{n} = 1.
\]","It follows from the assumption that 
\[
(1 - x) \sum_{n=0}^\infty a_n x^{(k+1)n} = \frac{1}{1+x+\cdots+x^k}(1-x^{k+1}) \sum_{n=0}^\infty a_n \left(x^{k+1}\right)^n
\]
converges to 
\[
\frac{1}{k+1} = \int_0^1 t^k dt
\]
as $x \to 1^-$ for any non-negative integer $k$. Therefore we have 
\[
\lim_{x \to 1^-} (1 - x) \sum_{n=0}^\infty a_n x^n P(x^n) = \int_0^1 P(t) \, dt
\]
for any polynomial $P(t)$. 

We now introduce the discontinuous function $\phi(x)$ defined by 
\[
\phi(x) = 
\begin{cases} 
0 & \text{for } 0 \leq x < 1/e, \\
1/x & \text{for } 1/e \leq x \leq 1.
\end{cases}
\]
For any $\epsilon > 0$ we can find two continuous functions $\phi_\pm(x)$ defined on the interval $[0, 1]$ such that $\phi_-(x) \leq \phi(x) \leq \phi_+(x)$ and $\phi_+(x) - \phi_-(x) < \epsilon$ for any $x$ in $[0, 1]$. By Weierstrass' approximation theorem there are polynomials $P_\pm(x)$ satisfying $\lvert \phi_\pm(x) \pm \epsilon - P_\pm(x) \rvert < \epsilon$, respectively. Hence it follows that $P_-(x) < \phi(x) < P_+(x)$ and $P_+(x) - P_-(x) < 5\epsilon$.

Since $a_n$ are all non-negative, we obtain
\[
\sum_{n=0}^\infty a_n x^n P_-(x^n) \leq \sum_{n=0}^\infty a_n x^n \phi(x^n) \leq \sum_{n=0}^\infty a_n x^n P_+(x^n)
\]
for any $0 < x < 1$. If we put $x = e^{-1/N}$, then $x \to 1^-$ if and only if $N \to \infty$; hence, using $1 - e^{-1/N} \sim 1/N$, we have 
\[
\int_0^1 P_-(t) \, dt \leq \liminf_{N \to \infty} \frac{1}{N} \sum_{n=0}^N a_n
\]
and 
\[
\limsup_{N \to \infty} \frac{1}{N} \sum_{n=0}^N a_n \leq \int_0^1 P_+(t) \, dt.
\]
Therefore, since $P_+(x) - P_-(x) < 5\epsilon$ and 
\[
\int_0^1 \phi(x) dx = \int_{1/e}^1 \frac{dx}{x} = 1,
\]
it follows that 
\[
1 < \int_0^1 P_+(t) \, dt < \int_0^1 P_-(t) \, dt + 5\epsilon < 1 + 5\epsilon.
\]
Hence the sequence 
\[
\frac{1}{N} \sum_{n=0}^N a_n
\]
converges to $1$ as $N \to \infty$. 
"
7_3,Series of Functions,"Suppose that a power series
\[
f(x) = \sum_{n=0}^\infty a_n x^n
\]
has the radius of convergence $\rho > 0$ and that $\sum_{n=0}^\infty a_n \rho^n$ converges to $\alpha$. Show that $f(x)$ converges to $\alpha$ as $x \to \rho^-$.","Replacing \( x \) by \( \rho x \), we can assume that \( \rho = 1 \) without loss of generality. Put
\[
s_n = a_0 + a_1 + \cdots + a_n.
\]
Since \( s_n \) converges to \( \alpha \) as \( n \to \infty \), for any \( \epsilon > 0 \), we can take a sufficiently large integer \( N \) satisfying
\[
|s_n - \alpha| < \epsilon
\]
for all integers \( n > N \). For \( 0 < x < 1 \), we have
\[
\frac{f(x)}{1-x} = \sum_{n=0}^\infty s_n x^n = \frac{\alpha}{1-x} + \sum_{n=0}^\infty (s_n - \alpha)x^n;
\]
therefore
\[
|f(x) - \alpha| \leq (1-x) \sum_{n=0}^N |s_n - \alpha| x^n + (1-x) \sum_{n>N} |s_n - \alpha| x^n
\]
\[
< (1-x) \sum_{n=0}^N |s_n - \alpha| + (1-x) \sum_{n=0}^\infty \epsilon x^n
\]
\[
= (1-x) \sum_{n=0}^N |s_n - \alpha| + \epsilon.
\]

The right-hand side can be \( < 2\epsilon \) by letting \( x \) be sufficiently close to \( 1^- \). This means that \( f(x) \) converges to \( \alpha \) as \( x \to 1^- \). \(\Box\)"
7_2,Series of Functions,"Show that
\[
\lim_{x \to 1^-} (1-x)^2 \sum_{n=1}^\infty \frac{n x^n}{1 - x^n} = \frac{\pi^2}{6}.
\]","Applying \textbf{Problem 6.4} for \( f(x) = x / (e^x - 1) \), we get
\[
h \sum_{n=1}^\infty \frac{n h}{e^{n h} - 1} \to \int_0^\infty \frac{x \, dx}{e^x - 1} = \frac{\pi^2}{6}
\]
as \( h \to 0^+ \). By the substitution \( h = -\log x \), it holds that \( h \) converges to \( 0^+ \) if and only if \( x \) converges to \( 1^- \); hence, using \( -\log x \sim 1 - x \) as \( x \to 1^- \),
\[
\lim_{x \to 1^-} (1 - x)^2 \sum_{n=1}^\infty \frac{n x^n}{1 - x^n}
= \lim_{x \to 1^-} (\log x)^2 \sum_{n=1}^\infty \frac{n x^n}{1 - x^n}
= \lim_{h \to 0^+} h \sum_{n=1}^\infty \frac{n h}{e^{n h} - 1} = \frac{\pi^2}{6}.
\]
Note that the function \( f(x) = x / (e^x - 1) \) can be regarded as a continuous function on the interval \([0, \infty)\) if we define \( f(0) = 1 \)."
8_1,Approximation by Polynomials,"For any $f \in C[0, 1]$, the polynomial of degree $n$ defined by
\[
B_n(f; x) = \sum_{k=0}^n f\left(\frac{k}{n}\right) \binom{n}{k} x^k (1-x)^{n-k}
\]
is called the Bernstein polynomial. Show then that $B_n(f; x)$ converges to $f(x)$ uniformly on the interval $[0, 1]$.","For any positive $\epsilon$ it follows from the uniform continuity of $f$ that there is a positive $\delta$ such that $\lvert f(x) - f(y) \rvert < \epsilon$ for any $x$ and $y$ in the interval $[0, 1]$ with $\lvert x - y \rvert < \delta$. Let $M$ be the maximum of $\lvert f(x) \rvert$ on $[0, 1]$ and let $\{d_n\}$ be any monotone sequence of positive integers diverging to $\infty$ and satisfying $d_n = o(n)$ as $n \to \infty$. We divide the difference into two parts as follows:
\[
B_n(f; x) - f(x) = \sum_{k=0}^n \left( f\left(\frac{k}{n}\right) - f(x) \right) \binom{n}{k} x^k (1 - x)^{n-k} = S_0(x) + S_1(x),
\]
where in $S_0(x)$ the summation runs through the values of $k \in [0, n]$ for which $\lvert x - k/n \rvert \leq d_n / n$ and in $S_1(x)$ the summation runs through the remaining values of $k$.

Now we consider all sufficiently large $n$ satisfying $d_n / n < \delta$. For the sum $S_0(x)$, using $\lvert f(x) - f(k/n) \rvert < \epsilon$ we get
\[
\lvert S_0(x) \rvert \leq \epsilon \sum_{k=0}^n \binom{n}{k} x^k (1 - x)^{n-k} = \epsilon.
\]
On the other hand, for the sum $S_1(x)$, using $\lvert j - nx \rvert > d_n$ we obtain
\[
\lvert S_1(x) \rvert < 2M \sum_{k=0}^n \frac{(j - nx)^2}{d_n^2} \binom{n}{k} x^k (1 - x)^{n-k} 
= \frac{2M}{d_n^2} \left( n^2x^2 + nx(1 - x) - 2n^2x^2 + n^2x^2 \right) 
= \frac{2M}{d_n^2} nx(1 - x) \leq \frac{nM}{2d_n^2},
\]
where we used the fact that $B_n(1; x) = 1$, $B_n(x; x) = x$, and 
\[
B_n(x^2; x) = x^2 + \frac{x(1 - x)}{n}.
\]

We then take $d_n = \lfloor n^{2/3} \rfloor$ so that $d_n / \sqrt{n}$ diverges as $n \to \infty$. Hence we have $\lvert S_0(x) + S_1(x) \rvert < 2\epsilon$ for all sufficiently large $n$."
8_2,Approximation by Polynomials,"Show that there exists a sequence of polynomials with integral coefficients converging to $f \in C[0, 1]$ uniformly if $f(0) = f(1) = 0$.","The Bernstein polynomial for \(f\) defined in \textbf{Problem 8.1} is
\[
B_n(f; x) = \sum_{k=1}^{n-1} f\left(\frac{k}{n}\right) \binom{n}{k} x^k (1-x)^{n-k}.
\]

Since \(f(0) = f(1) = 0\), if \(n = p\) is a prime number, then the binomial coefficient \(\binom{p}{k}\) is clearly a multiple of \(p\) for every integer \(k \in [1, p)\). Hence,
\[
\widetilde{B}_p(f; x) = \sum_{k=1}^{p-1} \frac{1}{p} \binom{p}{k} \left\lfloor \frac{p}{k} \right\rfloor f\left(\frac{k}{p}\right) x^k (1-x)^{p-k}
\]
is a polynomial with integral coefficients where \(\lfloor x \rfloor\) denotes the integral part of \(x\). 

Since we have
\[
\left| B_p(f; x) - \widetilde{B}_p(f; x) \right| \leq \frac{1}{p} \sum_{k=1}^{p-1} \binom{p}{k} x^k (1-x)^{p-k} < \frac{1}{p},
\]
it is clear that \(\widetilde{B}_p(f; x)\) converges also to \(f(x)\) uniformly as \(p \to \infty\).
"
8_6,Approximation by Polynomials,"For all non-negative integers $n$, show that
\[
\int_0^\infty x^n (\sin x^{1/4}) \exp(-x^{1/4}) \, dx = 0.
\]","For brevity, put
\[
I_n = \int_0^\infty x^n e^{-x} \sin x \, dx \quad \text{and} \quad J_n = \int_0^\infty x^n e^{-x} \cos x \, dx
\]
for any non-negative integer $n$. By the substitution $t = x^{1/4}$, the given integral in the problem is equal to $4 I_{4n+3}$. By partial integration, we easily get
\[
\begin{cases}
I_n = \frac{n}{2} \left( I_{n-1} + J_{n-1} \right), \\
J_n = \frac{n}{2} \left( J_{n-1} - I_{n-1} \right),
\end{cases}
\]
for any positive integer $n$. Solving these recursion formulae with the initial condition $I_0 = J_0 = 1/2$, we obtain $I_n = 0$ for any integer $n$ satisfying $n \equiv 3 \, (\text{mod} \, 4)$."
8_3,Approximation by Polynomials,Deduce the approximation theorem by trigonometric polynomials from Weierstrass' approximation theorem by polynomials.,"For any continuous periodic function with period $2\pi$, we write $f(x) = f_+(x) + f_-(x)$ where 
\[
f_{\pm}(x) = \frac{f(x) \pm f(-x)}{2}
\]
respectively. $f_{\pm}$ are also continuous periodic functions with the same period satisfying $f_+(-x) = f_+(x)$ and $f_-(x) + f_-(k\pi) = 0$. Note that $f_-(k\pi) = 0$ for any integer $k$.

For any $\epsilon > 0$ we can take a continuous odd function $\phi(x)$ with period $2\pi$ such that $|f_-(x) - \phi(x)| < \epsilon$ for any $x \in \mathbb{R}$ and that $\phi(x)$ vanishes on every point of some small neighborhoods of the points $k\pi$. Since $x = \arccos y$ maps the interval $[-1,1]$ onto $[0,\pi]$ homeomorphically, the functions 
\[
f_+(\arccos y) \quad \text{and} \quad \frac{\phi(\arccos y)}{\sin(\arccos y)}
\]
are continuous on the interval $[-1,1]$. Thus applying Weierstrass' approximation theorem to these functions, we can find certain polynomials $P(y)$ and $Q(y)$ satisfying
\[
|f_+(x) - P(\cos x)| < \epsilon \quad \text{and} \quad \left|\phi(x) - (\sin x) Q(\cos x)\right| < \epsilon
\]
for any $0 \leq x \leq \pi$. Moreover the inequalities hold for any $x \in \mathbb{R}$ by the evenness of $f_+(x)$ and $P(\cos x)$, by the oddness of $\phi(x)$ and $(\sin x) Q(\cos x)$ and, of course,

by the periodicity of these functions. We therefore obtain 
\[
|f(x) - P(\cos x) - (\sin x) Q(\cos x)| \leq |f_+(x) - P(\cos x)| + |f_-(x) - \phi(x)| + |\phi(x) - (\sin x)Q(\cos x)|
< 3\epsilon
\]
for any $x \in \mathbb{R}$. Finally it is easily verified that each $\cos^k x$ can be written as a linear combination of $1, \cos x, \ldots, \cos kx$ and that each $(\sin x) \cos^k x$ can be expressed as a linear combination of $\sin x, \sin 2x, \ldots, \sin kx$. This completes the proof."
9_6,Convex Functions,Show that any continuous convex function $f(x)$ on an open interval $I$ possesses a finite derivative except for at most countable points.,"Let \( f'_+(x) \) and \( f'_-(x) \) be the right- and left-hand derivatives of \( f \) at \( x \) respectively. First we will prove that \( f'_\pm(x) \) exist at every point \( x \) in the open interval \( I \). For brevity let \( \Delta(x,y) \) denote the difference quotient
\[
\Delta(x, y) = \frac{f(x) - f(y)}{x - y}
\]
for any \( x \neq y \) in \( I \). Let \( x < y < z \) be arbitrary three points in \( I \). Applying the inequality stated in \textbf{Problem 9.4} with \( \lambda_1 = z-y, x_1 = x \) and \( \lambda_2 = y-x, x_2 = z \),

we get \( y = (\lambda_1 x_1 + \lambda_2 x_2)/(\lambda_1 + \lambda_2) \) and
\[
f(y) \leq \frac{z-y}{z-x} f(x) + \frac{y-x}{z-x} f(z).
\]
Thus \( \Delta(x, y) \leq \Delta(y, z) \). Note that the above inequality can also be written as \( \Delta(x, y) \leq \Delta(x, z) \) or as \( \Delta(x, z) \leq \Delta(y, z) \). In particular, the quotients \( \Delta(x-h, x) \) and \( \Delta(x, x+h) \) are monotone increasing with respect to \( h > 0 \) and \( \Delta(x-h, x) \leq \Delta(x, x+h) \) holds for any \( h > 0 \) satisfying \( x \pm h \in I \). This means that both \( f'_+(x) \) and \( f'_-(x) \) certainly exist and satisfy \( f'_-(x) \leq f'_+(x) \).

Next for any points \( x < y \) in \( I \) we take a sufficiently small \( h > 0 \) satisfying \( x + h < y - h \). Then
\[
\Delta(x, x+h) \leq \Delta(x+h, y-h) \leq \Delta(y-h, y);
\]
hence, letting \( h \to 0^+ \) we obtain \( f'_+(x) \leq f'_-(y) \). Therefore if \( f(x) \) does not possess a finite differential coefficient at \( x_0 \), then it follows that \( f'_-(x_0) < f'_+(x_0) \). Moreover if we assign the point \( x_0 \) to the open interval \( (f'_-(x_0), f'_+(x_0)) \), then such intervals are disjoint each other. Therefore we can enumerate all such open intervals by labeling them, for example, in such a way that we count ones contained in \( (-n, n) \) and having the length \( > 1/n \) for each positive integer \( n \). \(\square\)"
9_1,Convex Functions,"Suppose that $f(x)$ is convex on an interval $I$. Show that
\[
f\left(\frac{x_1 + x_2 + \cdots + x_n}{n}\right) \leq \frac{f(x_1) + f(x_2) + \cdots + f(x_n)}{n}
\]
for arbitrary $n$ points $x_1, x_2, \ldots, x_n$ in $I$.","By \( m \) times applications of convexity for \( f \), we easily get
\[
f\left(\frac{x_1 + x_2 + \cdots + x_{2^m}}{2^m}\right) \leq \frac{f(x_1) + f(x_2) + \cdots + f(x_{2^m})}{2^m}
\]
for any \( 2^m \) points \( x_1, \ldots, x_{2^m} \) in \( I \). For any integer \( n \geq 3 \), we choose \( m \) satisfying \( n < 2^m \). Now adding to \( x_1, \ldots, x_n \) the new \( 2^m - n \) points
\[
x_{n+1} = \cdots = x_{2^m} = \frac{x_1 + x_2 + \cdots + x_{2^m}}{n}
\]
in \( I \), we have
\[
2^m f(y) \leq f(x_1) + \cdots + f(x_n) + (2^m - n) f\left(\frac{x_1 + x_2 + \cdots + x_n}{n}\right)
\]
where
\[
y = \frac{1}{2^m} \left(x_1 + x_2 + \cdots + x_n + (2^m - n) \frac{x_1 + x_2 + \cdots + x_n}{n} \right)
= \frac{x_1 + x_2 + \cdots + x_n}{n};
\]
namely
\[
f\left(\frac{x_1 + x_2 + \cdots + x_n}{n}\right) \leq \frac{f(x_1) + f(x_2) + \cdots + f(x_n)}{n}.
\]"
9_10,Convex Functions,Suppose that \( f(x) \) is twice differentiable in an open interval \( I \). Show then that \( f(x) \) is convex if and only if \( f''(x) \geq 0 \) on \( I \).,"Suppose that \( f(x) \) is convex on \( I \). We have already seen in the proof of \textbf{Problem 9.6} that \( f'_+(x) \leq f'_-(y) \) for any points \( x < y \) in \( I \). Since \( f(x) \) is twice differentiable, the derivative \( f'(x) \) is monotone increasing on \( I \), whence \( f''(x) \geq 0 \).

Conversely suppose that \( f''(x) \geq 0 \). Let \( x \) and \( y \) be any points in \( I \). By Taylor's formula centered at \( (x+y)/2 \) we obtain
\[
f(x) = f\left( \frac{x+y}{2} \right) + f'\left( \frac{x+y}{2} \right) \frac{x-y}{2} + \frac{f''(c)}{8} (x-y)^2
\]
and
\[
f(y) = f\left( \frac{x+y}{2} \right) + f'\left( \frac{x+y}{2} \right) \frac{y-x}{2} + \frac{f''(c')}{8} (x-y)^2
\]
for some \( c \) and \( c' \). Adding the two equalities we get
\[
f(x) + f(y) = 2f\left( \frac{x+y}{2} \right) + \frac{f''(c) + f''(c')}{8} (x-y)^2 \geq 2f\left( \frac{x+y}{2} \right).
\]
Hence \( f(x) \) is convex on \( I \)."
9_11,Convex Functions,"Suppose that \( f \in C^2[0, \infty) \) is convex and bounded. Show that the improper integral
\[
\int_0^\infty x f''(x) \, dx
\]
converges.","Suppose $\delta = f'(x_0) > 0$ for some $x_0 > 0$. Since $f'(x)$ is monotone increasing, we have $f'(x) \geq \delta$ for any $x \geq x_0$ and hence
\[
f(x) = f(x_0) + \int_{x_0}^x f'(t) \, dt \geq f(x_0) + \delta (x - x_0),
\]
contrary to the assumption that $f$ is bounded. Thus $f'(x) \leq 0$ for any $x > 0$ and it follows that $f(x)$ is monotone decreasing and converges to some $\lambda$ as $x \to \infty$. Therefore we have
\[
\lambda - f(x) = \int_x^\infty f'(t) \, dt
\]
and, in particular, $f'(x)$ converges to $0$ as $x \to \infty$. By the Cauchy criterion we have, for any $\epsilon > 0$,
\[
0 < -\int_\alpha^\beta f'(t) \, dt < \epsilon
\]
for all sufficiently large $\alpha$ and $\beta > \alpha$. Since $f'(x)$ is non-positive and monotone increasing, we obtain $(\beta - \alpha)|f'(\beta)| < \epsilon$; therefore
\[
\beta |f'(\beta)| < \epsilon + \alpha |f'(\beta)|.
\]
The right-hand side can be smaller than $2\epsilon$ if we take $\beta$ sufficiently large. Hence $x f'(x)$ converges to $0$ as $x \to \infty$. Thus
\[
\int_0^x t f''(t) \, dt = x f'(x) - f(x) + f(0)
\]
converges to $f(0) - \lambda$ as $x \to \infty$."
9_3,Convex Functions,"Suppose that $f(x)$ is convex and bounded above on an open interval $(a, b)$. Show then that $f(x)$ is continuous on $(a, b)$.","Suppose that $f(x) < K$ for some constant $K$. For an arbitrary fixed $y$ in the interval $(a, b)$ and any positive integer $n$, the points $y \pm n\delta$ belong to $(a, b)$ for all sufficiently small positive $\delta$. Of course $\delta$ depends on $n$. Applying the inequality described in \textbf{Problem 9.1} to the $n$ points $x_1 = y \pm n\delta, x_2 = \cdots = x_n = y$, we get
\[
f(y \pm \delta) \leq \frac{f(y \pm n\delta) + (n-1)f(y)}{n}
\]
respectively. Hence we have
\[
f(y + \delta) - f(y) \leq \frac{f(y + n\delta) - f(y)}{n} \leq \frac{K - f(y)}{n}
\]
and
\[
f(y) - f(y - \delta) \geq \frac{f(y) - f(y - n\delta)}{n} \geq \frac{f(y) - K}{n}.
\]

Since $f(y) - f(y - \delta) \leq f(y + \delta) - f(y)$ and $n$ is arbitrary, these mean that $f(x)$ is continuous at the point $y$. "
9_2,Convex Functions,Show that $f(x)$ is convex on an interval $I$ if and only if $e^{\lambda f(x)}$ is convex on $I$ for any positive $\lambda$.,"Suppose first that $f(x)$ is convex on the interval $I$. Since $e^{\lambda x}$ is convex and monotone increasing on $\mathbb{R}$, we have
\[
\exp\left(\lambda f\left(\frac{x_1 + x_2}{2}\right)\right) \leq \exp\left(\frac{\lambda f(x_1) + f(x_2)}{2}\right) \leq \frac{e^{\lambda f(x_1)} + e^{\lambda f(x_2)}}{2}
\]
for any $x_1$ and $x_2$ in $I$. Hence $e^{\lambda f(x)}$ is convex on $I$.

Conversely, suppose that $e^{\lambda f(x)}$ is convex on $I$ for any positive $\lambda$. The asymptotic expansions as $\lambda \to 0^+$ of both sides of the inequality
\[
\exp\left(\lambda f\left(\frac{x_1 + x_2}{2}\right)\right) \leq \frac{e^{\lambda f(x_1)} + e^{\lambda f(x_2)}}{2}
\]
give
\[
1 + \lambda f\left(\frac{x_1 + x_2}{2}\right) + O(\lambda^2) \leq 1 + \lambda \frac{f(x_1) + f(x_2)}{2} + O(\lambda^2),
\]
for any $x_1$ and $x_2$ in $I$, which implies the convexity of $f(x)$ on $I$. "
